Flare ID,Start Time,Peak Time,End Time,Class Type,Source Location,Active Region,Linked Events,Instruments,Note
2025-01-21T10:08:00-FLR-001,2025-01-21T10:08Z,2025-01-21T10:39Z,2025-01-21T11:00Z,M3.3,S18E23,13967.0,{'activityID': '2025-01-21T10:53:00-CME-001'},GOES-P: EXIS 1.0-8.0,
2025-01-22T10:44:00-FLR-001,2025-01-22T10:44Z,2025-01-22T11:08Z,2025-01-22T11:35Z,M1.3,S15W17,13961.0,{'activityID': '2025-01-22T11:36:00-CME-001'},GOES-P: EXIS 1.0-8.0,"On the outskirts of Active Region 13961, which was centered at about S10W28 at the peak time of this flare, however this Active Region spans a very large area (very roughly 25 degrees of longitude (W15-W40) and 20 degrees of latitude (S00-S20))."
2025-01-24T11:43:00-FLR-001,2025-01-24T11:43Z,2025-01-24T12:21Z,2025-01-24T12:50Z,C9.8,S20E90,,{'activityID': '2025-01-24T12:24:00-CME-001'},GOES-P: EXIS 1.0-8.0,"This flare, which was slightly occulted, originated from a currently unnumbered region located beyond the southeast limb."
2025-01-24T20:48:00-FLR-001,2025-01-24T20:48Z,2025-01-24T21:04Z,2025-01-24T21:17Z,M2.7,S05W70,13961.0,,GOES-P: EXIS 1.0-8.0,
2025-01-25T02:52:00-FLR-001,2025-01-25T02:52Z,2025-01-25T03:00Z,2025-01-25T03:15Z,C3.7,S11W70,13961.0,{'activityID': '2025-01-25T03:36:00-CME-001'},GOES-P: EXIS 1.0-8.0,
2025-01-25T03:16:00-FLR-001,2025-01-25T03:16Z,2025-01-25T03:23Z,2025-01-25T03:28Z,C4.6,S11W70,13961.0,{'activityID': '2025-01-25T03:36:00-CME-001'},GOES-P: EXIS 1.0-8.0,
2025-01-25T17:16:00-FLR-001,2025-01-25T17:16Z,2025-01-25T17:27Z,2025-01-25T17:33Z,C5.4,S12W80,13961.0,{'activityID': '2025-01-25T17:36:00-CME-001'},GOES-P: EXIS 1.0-8.0,
2025-01-27T07:52:00-FLR-001,2025-01-27T07:52Z,2025-01-27T08:12Z,2025-01-27T08:33Z,M2.6,N10E90,13976.0,,GOES-P: EXIS 1.0-8.0,
2025-01-28T19:41:00-FLR-001,2025-01-28T19:41Z,2025-01-28T19:45Z,2025-01-28T19:49Z,M1.7,N19E70,13977.0,,GOES-P: EXIS 1.0-8.0,
2025-01-29T03:36:00-FLR-001,2025-01-29T03:36Z,2025-01-29T04:08Z,2025-01-29T04:21Z,M1.0,N22E65,13977.0,,GOES-P: EXIS 1.0-8.0,with simultaneous flaring from Active Region 3967 (S17W92).
2025-01-31T05:48:00-FLR-001,2025-01-31T05:48Z,2025-01-31T06:10Z,2025-01-31T06:20Z,M1.0,N13E39,13976.0,,GOES-P: EXIS 1.0-8.0,
2025-01-31T13:40:00-FLR-001,2025-01-31T13:40Z,2025-01-31T14:06Z,2025-01-31T14:25Z,M6.7,N14E43,13978.0,{'activityID': '2025-01-31T14:38:00-CME-001'},GOES-P: EXIS 1.0-8.0,
2025-01-31T20:14:00-FLR-001,2025-01-31T20:14Z,2025-01-31T20:23Z,2025-01-31T20:28Z,M1.8,N19E27,13977.0,,GOES-P: EXIS 1.0-8.0,
